ts_event,rtype,publisher_id,instrument_id,action,side,price,size,channel_id,order_id,flags,ts_in_delta,sequence,symbol
2025-09-24 19:30:01.994252301+00:00,160,1,432669,C,B,64.83,1,26,8058566315054,128,17072,94226979,CLX5
2025-09-24 19:30:01.994868461+00:00,160,1,432669,M,B,64.82,2,26,8058566314979,128,15543,94227013,CLX5
2025-09-24 19:30:01.995116741+00:00,160,1,432669,A,A,64.84,1,26,8058566315118,128,19024,94227015,CLX5
2025-09-24 19:30:01.995276709+00:00,160,1,432669,C,B,64.82,2,26,8058566314979,128,15628,94227017,CLX5
2025-09-24 19:30:01.996057499+00:00,160,1,432669,T,A,64.83,2,26,8058566315122,0,14803,94227026,CLX5
2025-09-24 19:30:01.996057499+00:00,160,1,432669,F,B,64.83,1,26,8058566315049,0,14803,94227026,CLX5
2025-09-24 19:30:01.996057499+00:00,160,1,432669,F,B,64.83,1,26,8058566315094,0,14803,94227026,CLX5
2025-09-24 19:30:01.996057499+00:00,160,1,432669,C,B,64.83,1,26,8058566315049,0,18792,94227027,CLX5
2025-09-24 19:30:01.996057499+00:00,160,1,432669,C,B,64.83,1,26,8058566315094,128,18792,94227027,CLX5
2025-09-24 19:30:01.996058557+00:00,160,1,432669,A,A,64.83,1,26,8058566315123,128,18920,94227029,CLX5
2025-09-24 19:30:01.996884869+00:00,160,1,432669,M,A,64.85,1,26,8058566305433,128,15606,94227052,CLX5
2025-09-24 19:30:01.998271511+00:00,160,1,432669,A,B,64.82,1,26,8058566315140,128,16846,94227072,CLX5
2025-09-24 19:30:01.998525359+00:00,160,1,432669,C,B,64.82,1,26,8058566314853,128,15172,94227088,CLX5
2025-09-24 19:30:01.998569921+00:00,160,1,432669,A,A,64.83,1,26,8058566315148,128,14810,94227089,CLX5
2025-09-24 19:30:01.998586701+00:00,160,1,432669,C,B,64.82,1,26,8058566314930,128,15269,94227092,CLX5
2025-09-24 19:30:01.998588265+00:00,160,1,432669,A,A,64.83,2,26,8058566315151,128,14056,94227097,CLX5
2025-09-24 19:30:01.998588583+00:00,160,1,432669,C,B,64.82,1,26,8058566315140,128,15152,94227099,CLX5
2025-09-24 19:30:01.998606747+00:00,160,1,432669,A,A,64.83,1,26,8058566315154,128,17019,94227102,CLX5
2025-09-24 19:30:01.998641785+00:00,160,1,432669,A,A,64.83,2,26,8058566315156,128,20083,94227104,CLX5
2025-09-24 19:30:01.998641959+00:00,160,1,432669,A,A,64.83,1,26,8058566315157,128,16745,94227105,CLX5
2025-09-24 19:30:01.998716489+00:00,160,1,432669,M,B,63.67,4,26,8058566311409,128,15950,94227109,CLX5
2025-09-24 19:30:02.000081375+00:00,160,1,432669,C,B,64.82,2,26,8058566314921,128,15624,94227145,CLX5
2025-09-24 19:30:02.006982915+00:00,160,1,432669,M,A,64.84,1,26,8058566305433,128,18580,94227215,CLX5
2025-09-24 19:30:02.048374791+00:00,160,1,432669,A,B,64.82,5,26,8058566315208,128,18773,94227254,CLX5
2025-09-24 19:30:02.048525369+00:00,160,1,432669,C,A,64.83,2,26,8058566315156,128,19932,94227255,CLX5
2025-09-24 19:30:02.048525667+00:00,160,1,432669,C,A,64.83,1,26,8058566315157,128,15444,94227258,CLX5
2025-09-24 19:30:02.048530765+00:00,160,1,432669,C,A,64.84,1,26,8058566315118,128,18744,94227259,CLX5
2025-09-24 19:30:02.170807581+00:00,160,1,432669,C,B,64.8,1,26,8058566315055,128,19416,94227364,CLX5
2025-09-24 19:30:04.437985893+00:00,160,1,432669,C,A,65.06,1,26,8058566310050,128,23267,94227584,CLX5
2025-09-24 19:30:04.547585373+00:00,160,1,432669,A,A,65.05,1,26,8058566315368,128,24132,94227586,CLX5
2025-09-24 19:30:05.511573591+00:00,160,1,432669,C,A,64.97,1,26,8058566060211,128,20633,94227591,CLX5
2025-09-24 19:30:11.344915535+00:00,160,1,432669,T,A,64.82,1,26,8058566315605,0,18462,94228164,CLX5
2025-09-24 19:30:11.344915535+00:00,160,1,432669,F,B,64.82,1,26,8058566312886,0,18462,94228164,CLX5
2025-09-24 19:30:11.344915535+00:00,160,1,432669,M,B,64.82,2,26,8058566312886,128,15642,94228165,CLX5
